Timestamp,High,Low,Weighted Price
2013-10-14,153.69902,146.03267,150.57
2013-10-15,158.1,150.628,154.33
2013-10-16,163,144.20004,155.31
2013-10-17,159.95,150.75471,155.76
2013-10-18,168.3,156.5,163.37
2013-10-19,195.83267,167.1,181.08
2013-10-20,186.12,177.25,182.9
2013-10-21,197.39005,183.2,191.65
2013-10-22,205.5,192.795,199.75
2013-10-23,228,200.75,213.88
2013-10-24,233.4,175.30001,203.07
2013-10-25,209,176.60399,188.57
2013-10-26,198.42679,187,192.1
2013-10-27,207.9,189,199.82
2013-10-28,209.79,200.42,206.42
2013-10-29,216.5,204.20001,211.27
2013-10-30,216.5,204,210.99
2013-10-31,215,205.43565,211.93
2013-11-01,215,209.76,212.87
2013-11-02,214.87996,211.02,213.04
2013-11-03,226.959,212.105,219.52
2013-11-04,239.02,222,230.53
2013-11-05,258.87626,229,245.83
2013-11-06,272.52,251.4134,263.03
2013-11-07,324.198,263.60001,296.95
2013-11-08,358,308.01001,337.79
2013-11-09,395,340,369.37
2013-11-10,372.5,290,326.25
2013-11-11,376,321.41,351.7
2013-11-12,391.52574,359.02,377.44
2013-11-13,445,372.183,410.51
2013-11-14,447.49999,402.54,428.44
2013-11-15,458,413.05,436.34
2013-11-16,477,428.01172,456.9
2013-11-17,536.777,457,499.54
2013-11-18,788,522,631.04
2013-11-19,900.97998,502.6212,697.19
2013-11-20,650,453.29,553.63
2013-11-21,784.4444,595.21,700.39
2013-11-22,821.999,682.3,752.2
2013-11-23,889.99999,799.60484,840.43
2013-11-24,855,745.2,800.43
2013-11-25,850,758.95852,812.21
2013-11-26,975,825.1,894.89
2013-11-27,1094.794,914.31556,1000.4
2013-11-28,1224.59998,1032.15,1148.11
2013-11-29,1242,1050,1163.49
2013-11-30,1233,1150.25,1209.94
2013-12-01,1216.9,840.32,1041.54
2013-12-02,1117.79999,975,1059.16
2013-12-03,1185.77338,1065,1131.45
2013-12-04,1240,1131.72718,1192.75
2013-12-05,1240,870.001,1065.91
2013-12-06,1118.989,800,948.05
2013-12-07,895.89,576,723.94
2013-12-08,829,653.0001,738.17
2013-12-09,980.17661,787.75,888.07
2013-12-10,1067.99999,912,983.13
2013-12-11,1056.9,856.123,946.2
2013-12-12,941,839.5,886.34
2013-12-13,990,882.15864,931.06
2013-12-14,948,875.13535,908.19
2013-12-15,928,838.0201,876.87
2013-12-16,925,714.11,796.07
2013-12-17,780,678.8904,722.7
2013-12-18,717.015,455,565.51
2013-12-19,746,522.44,654.75
2013-12-20,774.47,621.25001,698.39
2013-12-21,689.99,610,647.89
2013-12-22,700,615,661.14
2013-12-23,725,631.00001,677.31
2013-12-24,729.99174,666.01,698.73
2013-12-25,710,674,696.19
2013-12-26,829.8,707.3,774.1
2013-12-27,837,768,798.44
2013-12-28,806,715.6,758.73
2013-12-29,804,735,773.81
2013-12-30,818.888,781,803.25
2013-12-31,813.99999,777,796.36
2014-01-01,830,771,805.33
2014-01-02,886.31309,810.5601,846.22
2014-01-03,888.8,840,867.42
2014-01-04,932.37989,848.47873,898.8
2014-01-05,1029.98765,911.58,973
2014-01-06,1093.68199,965,1024.76
2014-01-07,1044.2,880,960.7
2014-01-08,966.9963,859,919.57
2014-01-09,964.69663,866.58247,917.28
2014-01-10,964.99,906,934.11
2014-01-11,1011,935.13,980.46
2014-01-12,1022.99,922.3,969.06
2014-01-13,949.47573,880.11,911.93
2014-01-14,943,905,923.04
2014-01-15,973.2,915.15,948.18
2014-01-16,956.06,911.01001,928.78
2014-01-17,930,867.43,894.83
2014-01-18,925,885,911.71
2014-01-19,958.24,902.01,934.25
2014-01-20,980.59324,926,959.51
2014-01-21,974.4,943.32,962.88
2014-01-22,974,935,949.18
2014-01-23,958.99999,937.12135,948.23
2014-01-24,950,903.4,921.66
2014-01-25,978.6,916.01,957.25
2014-01-26,1038.15894,950.73,999.48
2014-01-27,1022,937.67,972.63
2014-01-28,973,912.02001,941.52
2014-01-29,950.99999,919.3,930.4
2014-01-30,953.97898,910.11,932.02
2014-01-31,955.183,925,943.23
2014-02-01,969.3999,928,949.39
2014-02-02,960,935.0001,945.56
2014-02-03,960,932.05,942.26
2014-02-04,949.457,901.0321,928.4
2014-02-05,939.93,890.1731,911.77
2014-02-06,909,801,845.67
2014-02-07,833.14499,651.70976,729.09
2014-02-08,719.24999,632.01101,675.48
2014-02-09,693.99999,622.4189,659.05
2014-02-10,700,500,604.78
2014-02-11,609.4949,550,570.85
2014-02-12,585,511.77,542.38
2014-02-13,549,451.1,494.68
2014-02-14,499.89,302,379.15
2014-02-15,447.87999,310,359.78
2014-02-16,540,220.29327,304.22
2014-02-17,411,263.101,319.37
2014-02-18,370,248.14826,285.42
2014-02-19,308.49,257.10001,268.03
2014-02-20,271.43,109,160.23
2014-02-21,160,91.5,119.34
2014-02-22,290.52557,96.6345,161.88
2014-02-23,348.98,220.1,287.84
2014-02-24,316.78999,131.72093,185.96
2014-02-25,173.84343,101.62872,122.73
