Timestamp,Url,Sentiment Score,Sentiment Text
2013-12-02,http://www.theguardian.com/technology/2013/dec/02/bitcoin-mining-malwarebytes-app-pc,-0.0461882,negative
2013-12-02,http://www.theguardian.com/media/2013/dec/02/media-briefing-monday-2-december,-0.0243424,negative
2013-12-02,http://www.theguardian.com/technology/blog/2013/dec/02/bitcoin-ipad-coding-google-patents,-0.0117655,negative
2013-11-29,http://www.theguardian.com/media/2013/nov/29/media-briefing-friday-29-november,-0.123087,negative
2013-11-29,http://www.theguardian.com/technology/blog/2013/nov/29/bitcoin-cyanogen-samsung-benchmark,0.0211651,positive
2013-11-28,http://www.theguardian.com/business/economics-blog/2013/nov/28/bitcoin-potential-weapon-mass-economic-destruction,0.0245043,positive
2013-11-28,http://www.theguardian.com/technology/2013/nov/28/bitcoin-alternatives-future-currency-investments,0.0213454,positive
2013-11-28,http://www.theguardian.com/commentisfree/2013/nov/28/most-valuable-thing-lost-computer-bitcoins,-0.010111,negative
2013-11-28,http://www.theguardian.com/politics/2013/nov/28/boris-johnson-iq-intelligence-gordon-gekko,-0.0654855,negative
2013-11-27,http://www.theguardian.com/business/2013/nov/27/royal-mail-profits-double-as-mps-prepare-to-quiz-vince-cable-business-live,-0.0190189,negative
2013-11-27,http://www.theguardian.com/technology/2013/nov/27/hard-drive-bitcoin-landfill-site,-0.0088937,negative
2013-11-27,http://www.theguardian.com/technology/audio/2013/nov/27/podcast-tech-weekly-eli-horowitz,0.0878465,positive
2013-11-26,http://www.theguardian.com/technology/blog/2013/nov/26/amazon-business-bitcoin,0.0072319,positive
2013-11-25,http://www.theguardian.com/technology/2013/nov/25/where-can-you-use-bitcoins-brief-guide,0.0328897,positive
2013-11-25,http://www.theguardian.com/technology/2013/nov/25/is-bitcoin-about-to-change-the-world-peer-to-peer-cryptocurrency-virtual-wallet,0.0266744,positive
2013-11-25,http://www.theguardian.com/technology/2013/nov/25/majority-of-silk-roads-bitcoins-may-remain-unseized,0.00735965,positive
2013-11-25,http://www.theguardian.com/media/2013/nov/25/media-briefing-monday-25-november,0.0772115,positive
2013-11-22,http://www.theguardian.com/technology/2013/nov/22/virgin-galactic-bitcoin-space-flights-payment,0.050721,positive
2013-11-22,http://www.theguardian.com/media/2013/nov/22/media-briefing-friday-22-november,0.0298155,positive
2013-11-21,http://www.theguardian.com/technology/2013/nov/21/silk-road-founder-held-without-bail,-0.0709345,negative
2013-11-21,http://www.theguardian.com/technology/2013/nov/21/us-police-force-pay-bitcoin-ransom-in-cryptolocker-malware-scam,0.00687025,positive
2013-11-21,http://www.theguardian.com/media/2013/nov/21/media-briefing-thursday-21-november,0.029098,positive
2013-11-19,http://www.theguardian.com/media/2013/nov/19/media-briefing-tuesday-19-november,-0.0671585,negative
2013-11-19,http://www.theguardian.com/books/2013/nov/19/selfie-word-of-the-year-oed-olinguito-twerk,0.00689045,positive
2013-11-18,http://www.theguardian.com/business/2013/nov/18/chinese-stocks-markets-surge-on-economic-reforms-business-live,0.048671,positive
2013-11-18,http://www.theguardian.com/technology/2013/nov/18/bitcoin-risks-rewards-senate-hearing-virtual-currency,0.0285746,positive
2013-11-18,http://www.theguardian.com/commentisfree/2013/nov/18/bitcoin-senate-hearings-regulation,0.00274056,positive
2013-11-18,http://www.theguardian.com/technology/2013/nov/18/filesharing-search-engine-tor-dark-web-bitcoin-newznab,0.0598655,positive
2013-11-15,http://www.theguardian.com/technology/2013/nov/15/uk-faces-ransomware-cybercrime-attack,-0.0448425,negative
2013-11-15,http://www.theguardian.com/media/2013/nov/15/media-briefing-friday-15-november,0.010695,positive
2013-11-10,http://www.theguardian.com/technology/2013/nov/10/silk-road-internet-market-illegal-drugs-ross-ulbricht,0.00835665,positive
2013-11-08,http://www.theguardian.com/technology/2013/nov/08/hackers-steal-1m-from-bitcoin-tradefortress-site,0.0324974,positive
2013-11-08,http://www.theguardian.com/technology/blog/2013/nov/08/technology-links-newsbucket,0.0289536,positive
2013-11-07,http://www.theguardian.com/technology/2013/nov/07/silk-road-20-resurrects-online-drugs-marketplace,0.0300581,positive
2013-11-06,http://www.theguardian.com/technology/2013/nov/06/bitcoin-price-hits-all-time-high-of-269,0.0245392,positive
2013-11-05,http://www.theguardian.com/technology/2013/nov/05/bitcoin-hijack-research-mining,-0.0441323,negative
2013-11-04,http://www.theguardian.com/news/datablog/interactive/2013/nov/04/bitcoin-how-does-work-cryptocurrency,-0.0027214,negative
2013-11-01,http://www.theguardian.com/travel/2013/nov/01/bitcoin-currency-for-travellers,0.0421902,positive
2013-10-30,http://www.theguardian.com/commentisfree/2013/oct/30/digital-age-nostalgia-online-generation,0.00398202,positive
2013-10-29,http://www.theguardian.com/technology/2013/oct/29/bitcoin-forgotten-currency-norway-oslo-home,-0.00247035,negative
2013-10-24,http://www.theguardian.com/media/2013/oct/24/media-briefing-thursday-24-october,0.0772115,positive
2013-10-21,http://www.theguardian.com/technology/2013/oct/21/bitcoin-price-surges-to-post-crash-high,0.0128748,positive
2013-10-18,http://www.theguardian.com/technology/2013/oct/18/silk-road-black-market-reloaded-closed,-0.00729805,negative
2013-10-15,http://www.theguardian.com/technology/2013/oct/15/silk-road-ross-ulbricht-alleged-mastermind,0.0217643,positive
2013-10-09,http://www.theguardian.com/technology/2013/oct/09/silk-road-founder-new-york-charges,-0.0292674,negative
2013-10-09,http://www.theguardian.com/technology/blog/2013/oct/09/qualcomm-office-htc-silk-road,-0.007637,negative
2013-10-08,http://www.theguardian.com/technology/2013/oct/08/silk-road-hack-suspicion-fbi-server,0.00959665,positive
2013-10-08,http://www.theguardian.com/uk-news/2013/oct/08/silk-road-illegal-drugs-arrested-britain,-0.0368272,negative
2013-10-07,http://www.theguardian.com/technology/2013/oct/07/fbi-bitcoin-pranked-silk-road,-0.0318551,negative
2013-10-07,http://www.theguardian.com/technology/2013/oct/07/fbi-bitcoin-silk-road-ross-ulbricht,0.0066004,positive
2013-10-05,http://www.theguardian.com/society/2013/oct/06/dark-net-drugs,-0.0189329,negative
2013-10-04,http://www.theguardian.com/technology/2013/oct/04/bitcoin-what-you-need-to-know-silk-road,-0.0115017,negative
2013-10-04,http://www.theguardian.com/media/2013/oct/04/media-briefing-friday-4-october,-0.0421698,negative
2013-10-03,http://www.theguardian.com/technology/2013/oct/03/five-stupid-things-dread-pirate-roberts-did-to-get-arrested,-0.0131596,negative
2013-10-03,http://www.theguardian.com/technology/2013/oct/03/bitcoin-price-silk-road-ulbricht-value,-0.0187725,negative
2013-10-03,http://www.theguardian.com/technology/2013/oct/03/silk-road-underground-market-closed-bitcoin,-0.0080403,negative
