Timestamp,Url,Title,Article ,High,Low,Weighted Price
2013-12-10,http://www.theguardian.com/technology/2013/dec/10/apple-blocks-bitcoin-payments-on-secure-messaging-app-gliph,negative,negative,1067.99999,912,983.13
2013-12-09,http://www.theguardian.com/technology/2013/dec/09/recovering-stolen-bitcoin-sheep-marketplace-trading-digital-currency-money,neutral,negative,980.17661,787.75,888.07
2013-12-09,http://www.theguardian.com/world/2013/dec/09/internet-companies-demand-spying-overhaul-after-nsa-revelations-live-reaction,neutral,neutral,980.17661,787.75,888.07
2013-12-09,http://www.theguardian.com/technology/blog/2013/dec/09/ios7-interface-marissa-mayer,neutral,negative,980.17661,787.75,888.07
2013-12-08,http://www.theguardian.com/commentisfree/2013/dec/08/peer-pressure-using-proper-names,neutral,negative,829,653.0001,738.17
2013-12-08,http://www.theguardian.com/business/2013/dec/08/china-cameron-export-drive-desperate,positive,negative,829,653.0001,738.17
2013-12-06,http://www.theguardian.com/media/2013/dec/06/media-briefing-friday-6-december,neutral,neutral,1118.989,800,948.05
2013-12-05,http://www.theguardian.com/technology/2013/dec/05/bitcoin-digital-currency-wall-street-strategist,neutral,negative,1240,870.001,1065.91
2013-12-05,http://www.theguardian.com/technology/2013/dec/05/bitcoin-price-tumbles-chinese-central-bank-warning,positive,neutral,1240,870.001,1065.91
2013-12-04,http://www.theguardian.com/technology/2013/dec/04/bitcoin-bubble-tulip-dutch-banker,negative,neutral,1240,1131.72718,1192.75
2013-12-04,http://www.theguardian.com/technology/2013/dec/04/valve-joins-linux-steam-machine-gaming,neutral,neutral,1240,1131.72718,1192.75
2013-12-04,http://www.theguardian.com/tv-and-radio/tvandradioblog/2013/dec/04/good-wife-cbs-best-drama-tv,positive,neutral,1240,1131.72718,1192.75
2013-12-04,http://www.theguardian.com/technology/blog/2013/dec/04/bitcoin-nexus-spreadsheet,negative,positive,1240,1131.72718,1192.75
2013-12-03,http://www.theguardian.com/world/2013/dec/03/person-of-year-2013-who-gets-your-vote,positive,negative,1185.77338,1065,1131.45
2013-12-03,http://www.theguardian.com/technology/2013/dec/03/online-drugs-marketplace-shut-down-bitcoin-hack-sheep,neutral,positive,1185.77338,1065,1131.45
2013-12-03,http://www.theguardian.com/technology/blog/2013/dec/03/self-driving-cars-sweden-z30,positive,neutral,1185.77338,1065,1131.45
2013-12-02,http://www.theguardian.com/technology/2013/dec/02/bitcoin-mining-malwarebytes-app-pc,neutral,neutral,1117.79999,975,1059.16
2013-12-02,http://www.theguardian.com/media/2013/dec/02/media-briefing-monday-2-december,neutral,positive,1117.79999,975,1059.16
2013-12-02,http://www.theguardian.com/technology/blog/2013/dec/02/bitcoin-ipad-coding-google-patents,positive,negative,1117.79999,975,1059.16
2013-11-29,http://www.theguardian.com/media/2013/nov/29/media-briefing-friday-29-november,neutral,neutral,1242,1050,1163.49
2013-11-29,http://www.theguardian.com/technology/blog/2013/nov/29/bitcoin-cyanogen-samsung-benchmark,positive,neutral,1242,1050,1163.49
2013-11-28,http://www.theguardian.com/business/economics-blog/2013/nov/28/bitcoin-potential-weapon-mass-economic-destruction,neutral,neutral,1224.59998,1032.15,1148.11
2013-11-28,http://www.theguardian.com/technology/2013/nov/28/bitcoin-alternatives-future-currency-investments,neutral,neutral,1224.59998,1032.15,1148.11
